id;tweet;caption;ner;sa
1015799;RT @JayKenMinaj _ : Me outside of where George Zimmerman got shot at . You know God is so good . http://t.co/Z3neVBQ7vF;person, who is the girl of the hour, was seen walking down the sidewalk in a dress;O O O O O O O O B-PER I-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O;POSITIVE
1109405;Swan upping : first stop Hermitage Warf , Tower Bridge ( Tower and Olympic rings in the background ) http://t.co/pQdOHx3s;the view from the top of the building;O O O O O B-LOC I-LOC O B-LOC I-LOC O B-LOC O B-OTHER O O O O O O O O O O O O O O;POSITIVE
563049;RT @redbullESPORTS : Smash Shiba is stoked for #NWM7 Melee Grand Finals . http://t.co/hmTEF9q0gz;the audience applauds as the show begins.;O O O B-OTHER I-OTHER O O O O B-OTHER I-OTHER I-OTHER O O O O O O O O O;POSITIVE
418340;Rep . Howard Coble mingling ahead of press conference , expected to announce retirement . http://t.co/8mdDRp8Ani;a person is standing up;O O B-PER I-PER O O O O O O O O O O O O O O O O O;POSITIVE
50168;Psychologists explain why Katie Hopkins is just so Katie #Hopkins http://t.co/zqrdgJyN0k http://t.co/LSVeU4tKne;person is the new face of the singer;O O O B-PER I-PER O O O B-PER I-PER O O O O O O O O O O;NEGATIVE
1351124;RT @cnni : Pope Francis calls for an end to the suffering of people in conflicts : http://t.co/cB5PlzTLFG @Pontifex http://t.co/QPNWSUUZ3Q;religious leader leads the mass.;O O O B-PER I-PER O O O O O O O O O O O O O O O O O O O O;NEGATIVE
94770;RT @ShervinSinatra : Amsterdam Savage AF . http://t.co/btkv2ddE58;a sign for the city;O O O B-ORG I-ORG I-ORG O O O O O O O;NEGATIVE
64931;RT @jordancornette : This is how Alex Rodriguez spends his free time . Hangin out with @joelcornette at Notre Dame tailgates . ARod is Irish h…;man wearing a green shirt;O O O O O O B-PER I-PER O O O O O O O O O O B-ORG I-ORG O O B-PER O O O O O O O O;POSITIVE
63944;"RT @AuthorGiaLee : I ' ve titled this one "" Interplay of Light &amp , Shadow . "" Took it in beautiful Columbia , SC . http://t.co/7ubozPWFAa";the streets are lined with shops and restaurants.;O O O O O O O O O O O O O O O O O O O O O O B-LOC O B-LOC O O O O O O O O O O;POSITIVE
1285253;Jillian enjoys a birthday bath--and a blue snout . Join us this weekend : http://t.co/Pr5z9pQ8Ea Photo by Sandi Wong http://t.co/uQWCB32Vy8;tiger in the snow - photo #;B-PER O O O O O O O O O O O O O O O O B-PER I-PER O O O O O O O O;POSITIVE
1330809;RT @noisywoman : @davrosz @SamAntixMusic This Peter Dutton ? http://t.co/yjPOz2aLEW;a piece of food;O O O O O O B-PER I-PER O O O O O O;NEGATIVE
